description,slide_number,image_file,set,valence_mean,valence_sd,arousal_mean,arousal_sd,category
Woman,2513,2513.jpg,15,5.8,1.29,3.29,1.67,neutral
Woman,2037,2037.jpg,15,6.42,1.24,3.35,2.04,neutral
Cake,7250,7250.jpg,14,6.62,1.56,4.67,2.15,neutral
Crochet,7513,7513.jpg,20,5.45,1.4,3.47,2.02,neutral
Mushroom,5531,5531.jpg,7,5.15,1.45,3.69,2.11,neutral
Stove,7077,7077.jpg,19,5.12,1.46,4.61,2.06,neutral
Propeller,2575,2575.jpg,11,5.46,1.15,4.16,2.1,neutral
Disk,7003,7003.jpg,17,5,1.22,3.07,1.98,neutral
Child,2655,2655.jpg,12,6.88,2.09,4.57,2.19,neutral
Skyline,5994,5994.jpg,9,6.8,1.75,4.61,2.31,neutral
Bicyclist,5875,5875.jpg,12,6.03,1.43,3.29,2.12,neutral
Sky,5990,5990.jpg,5,6.54,1.78,4.44,2.43,neutral
Skier,8193,8193.jpg,13,6.73,1.58,6.04,2.19,neutral
Adult,2010,2010.jpg,1,6.25,1.84,3.32,2.07,neutral
Dragon,7600,7600.jpg,12,5.9,1.76,5.5,1.92,neutral
Crowd,7497,7497.jpg,18,5.19,1.55,4.97,2.16,neutral
Surfers,8206,8206.jpg,19,6.43,1.75,6.41,2.19,neutral
Skier,8021,8021.jpg,10,6.79,1.44,5.67,2.37,neutral
EroticFemale,4220,4220.jpg,3,6.6,1.72,5.18,2.33,neutral
Football,8116,8116.jpg,11,6.82,1.77,5.97,2.29,neutral
Skyscraper,7510,7510.jpg,2,6.05,1.6,4.52,2.35,neutral
Mushrooms,5533,5533.jpg,8,5.31,1.17,3.12,1.92,neutral
Cow,1670,1670.jpg,2,5.82,1.63,3.33,1.98,neutral
Plate,7233,7233.jpg,7,5.09,1.46,2.77,1.92,neutral
Window,7490,7490.jpg,4,5.52,1.41,2.42,2.23,neutral
Skyline,7570,7570.jpg,3,6.97,1.69,5.54,2.34,neutral
Cookout,7440,7440.jpg,19,6.32,1.61,4.7,1.96,neutral
Flower,5020,5020.jpg,1,6.32,1.68,2.63,2.1,neutral
BikerCouple,4631,4631.jpg,6,5.36,1.86,5.19,2.04,neutral
Dance,2606,2606.jpg,15,5.92,1.58,4.78,2.21,neutral
Pancakes,7286,7286.jpg,7,6.36,1.72,4.44,2.44,neutral
Girl&Dog,2362,2362.jpg,15,6.74,1.34,4.6,2.09,neutral
Pizza,7352,7352.jpg,6,6.2,2.2,4.58,2.45,neutral
Grain,5726,5726.jpg,19,6.23,1.6,2.84,2.04,neutral
AbstractArt,7248,7248.jpg,16,5.22,1.07,4.22,2.11,neutral
Vase,7192,7192.jpg,15,5.77,1.33,3.58,2.01,neutral
Urinating,2720,2720.jpg,4,5.43,1.59,3.43,1.91,neutral
Diver,8041,8041.jpg,7,6.65,1.67,5.49,2.29,neutral
GirlMakeup,2308,2308.jpg,19,5.22,1.62,3.82,2.15,neutral
Cracker,7255,7255.jpg,19,5.07,1.18,3.36,1.99,neutral
Woman,2030,2030.jpg,2,6.71,1.73,4.54,2.37,neutral
Sewing,7062,7062.jpg,18,5.27,1.06,3.4,1.94,neutral
AttractiveFem,4250,4250.jpg,6,6.79,2.05,5.16,2.76,neutral
Fork,7080,7080.jpg,1,5.27,1.09,2.32,1.84,neutral
Street,7496,7496.jpg,12,5.92,1.66,4.84,1.99,neutral
ChildCamera,2302,2302.jpg,19,6.43,1.32,3.64,1.94,neutral
Smoking,2749,2749.jpg,12,5.04,1.39,3.76,2.03,neutral
Basketball,8001,8001.jpg,17,6.5,1.84,5.6,2.31,neutral
Peanuts,7300,7300.jpg,18,5.64,1.22,3.25,1.97,neutral
Cowboy,2635,2635.jpg,14,5.22,1.65,4.42,1.98,neutral
Video,7017,7017.jpg,18,5.18,1.07,3.12,1.97,neutral
Lizard,1122,1122.jpg,18,5.15,1.71,4.32,2.16,neutral
Tools,7019,7019.jpg,18,5.2,1.17,3.36,1.87,neutral
Sky,5991,5991.jpg,6,6.55,2.09,4.01,2.44,neutral
Boxer,8232,8232.jpg,11,5.07,1.8,5.1,2.21,neutral
LightBulb,7170,7170.jpg,2,5.14,1.28,3.21,2.05,neutral
NeuMan,2102,2102.jpg,16,5.16,0.96,3.03,1.87,neutral
Chess,7512,7512.jpg,20,5.38,1.22,3.72,2.07,neutral
Birds,1419,1419.jpg,13,6.54,1.45,3.48,1.95,neutral
Family,2358,2358.jpg,15,6.56,1.7,3.73,2.04,neutral
Butcher,2235,2235.jpg,13,5.64,1.27,3.36,1.92,neutral
NeutMan,2214,2214.jpg,11,5.01,1.12,3.46,1.97,neutral
Cheerleaders,2034,2034.jpg,20,5.9,1.63,4.93,2.21,neutral
Flowers,5731,5731.jpg,8,5.39,1.58,2.74,1.95,neutral
AbstractArt,7238,7238.jpg,9,6.43,1.42,4.17,2.38,neutral
Romance,4619,4619.jpg,18,6.46,1.61,5.09,1.97,neutral
Golfer,8311,8311.jpg,6,5.88,1.67,3.57,2.35,neutral
Parrots,1333,1333.jpg,13,6.11,1.5,3.17,1.97,neutral
Musician,2489,2489.jpg,19,5.66,1.44,3.8,1.93,neutral
Cards,7505,7505.jpg,17,6.1,1.53,4.72,2.06,neutral
Artist,2382,2382.jpg,19,5.67,1.19,3.75,1.97,neutral
Surfer,8208,8208.jpg,19,6.79,1.48,5.17,2.23,neutral
PicnicTable,7026,7026.jpg,19,5.38,1.26,2.63,1.93,neutral
Balloons,2791,2791.jpg,8,6.64,1.7,3.83,2.09,neutral
Galaxy,5300,5300.jpg,4,6.91,1.8,4.36,2.62,neutral
Couple,4624,4624.jpg,14,6.84,1.6,5.02,2.05,neutral
Boy,2273,2273.jpg,17,5.41,1.55,3.52,1.81,neutral
DryingHair,2442,2442.jpg,14,6.17,1.4,4.04,1.89,neutral
Volcano,5920,5920.jpg,3,5.16,1.92,6.23,2.08,neutral
Building,5665,5665.jpg,17,6.15,1.44,4.02,1.97,neutral
